,0,1,2,3,4
0,,2023,2024(F),2025(F),2026(F)
1,,(end of period),(end of period),(end of period),(end of period)
2,USDCAD,1.32,1.44,1.45,1.40
3,CADUSD,0.76,0.70,0.69,0.71
4,USDMXN,16.97,20.83,21.30,21.50
5,GBPUSD,1.27,1.25,1.22,1.30
6,EURUSD,1.10,1.04,1.00,1.07
7,USDCNY,7.10,7.30,7.36,7.21
8,USDJPY,141,157,160,150
9,USDCOP,3855,4406,4367,4364
10,USDPEN,3.70,3.74,3.78,3.75
11,USDCLP,879,995,890,870
