,Metal Forecasts (avg),3Q25F,4Q25F,1Q26F,2Q26F,3Q26F,4Q26F,Unnamed: 7,2025F,2026F
0,Copper ($/t),9750.0,10300.0,10500.0,10700.0,10500.0,10500.0,,9764.0,10550.0
1,Aluminium ($/t),2600.0,2750.0,2750.0,2750.0,2700.0,2750.0,,2615.0,2738.0
2,Nickel ($/t),15000.0,15300.0,15500.0,15500.0,15000.0,15500.0,,15418.0,15375.0
3,Zinc ($/t),2780.0,3000.0,3000.0,2950.0,2900.0,2900.0,,2840.0,2938.0
4,Lead ($/t),2000.0,2050.0,2100.0,2050.0,2000.0,2100.0,,2000.0,2062.0
5,Gold ($/oz),3400.0,4000.0,4100.0,4200.0,4200.0,4100.0,,3400.0,4150.0
6,Silver ($/oz),38.0,49.0,49.5,50.0,50.0,49.5,,39.0,49.75
7,Iron Ore ($/t),100.0,105.0,100.0,95.0,90.0,95.0,,100.0,95.0
