,Metal Forecasts (avg),2Q24F,3Q24F,4Q24F,2024F,2025F
,Copper ($/t),"9,050","9,000","9,100","8,922","9,150"
0,Aluminium ($/t),2300.0,2350.0,2400.0,2323.0,2475.0
1,Nickel ($/t),16900.0,16950.0,17000.0,16922.0,17000.0
2,Zinc ($/t),2500.0,2550.0,2550.0,2519.0,2625.0
3,Lead ($/t),2100.0,2100.0,2200.0,2122.0,2125.0
4,Gold ($/oz),2200.0,2250.0,2300.0,2206.0,2310.0
5,Silver ($/oz),25.5,26.0,26.5,25.3,26.0
6,Iron Ore ($/t),100.0,105.0,100.0,106.0,101.0
