,0,1,2,3,4
0,,2024,2025(F),2026(F),2027(F)
1,,"(%, end of period)","(%, end of period)","(%, end of period)","(%, end of period)"
2,Canada,3.25,2.25,3.00,3.00
3,United States,4.50,3.75,3.50,3.25
4,Mexico,10.00,7.00,6.50,6.75
5,United Kingdom,4.75,3.75,4.25,3.75
6,Eurozone,3.15,2.15,2.65,2.40
7,China,1.50,1.40,1.20,1.20
8,Japan,0.25,0.75,1.00,1.25
9,Peru,5.00,4.25,4.25,4.25
10,Chile,5.00,4.50,4.50,4.25
